,lemma
603,President Madison
604,Williams
605,Thomas Lanier Williams
606,Tennessee River
607,Tennessee
608,Tennessee walker
609,Nashville
610,Springfield
611,IL
612,Illinois
613,Illinois River
614,WI
615,Wisonsin
616,Wisonsin River
617,Wisconsin weeping willow
618,Unibersidad ng Wisonsin
619,LA
620,Louisiana
621,Louisiana Purchase
622,Baton Rouge
623,Little Rock
624,Arkansas River
625,AR
626,Arkansas
627,Arkansas kingbird
628,Missouri River
629,MO
630,Missouri
631,Little Missouri
632,Jefferson City
633,Iowa
634,Des Moines
635,Saint Paul
636,st. paul
637,Minnesota
638,Oklahoma
639,Oklahoma City
640,Topeka
641,Kansas River
642,KS
643,Kansas
644,Kansa
645,Universidad ng Nebraska
646,NE
647,Nebraska
648,Lincoln
649,Abraham Lincoln
650,President Abraham Lincoln
651,President Lincoln
652,SD
653,South Dakota
654,estado coyote
655,estados bundok rushmore
656,timog dakota
657,ND
658,North Dakota
659,Honolulu
660,Hawaii Island
661,Hawaii
662,Hawaii Volcanoes National Park
663,Juneau
664,Gulf of Alaska
665,AK
666,Alaska
667,Alaska Range
668,Alaska Peninsula
669,Alaskan Native
670,New Mexico
671,Denver
672,Colorado River
673,CO
674,Colorado
675,Colorado Springs
676,Colorado Desert
677,WY
678,Wyoming
679,MT
680,Montana
681,Cheyenne
682,Helena
683,Phoenix
684,AZ
685,Arizona
686,UT
687,Utah
688,Salt Lake City
689,ID
690,Idaho
691,Idaho Falls
692,Boise
693,Sierra Nevada
694,kabundukan ng sierra nevada
695,NV
696,Nevada
697,Carson City
698,Unibersidad ng California
699,Sacramento
700,Golpo ng California
701,CA
702,California
703,California black walnut
704,California black oak
705,Oregon white oak
706,OR
707,Oregon
708,Salem
709,Texas longhorn
710,longhorn
711,Texas toad
712,Texas horned lizard
713,Texas fever
714,TX
715,Texas
716,Unibersidad ng Texas
717,Marso 2
718,Araw ng Kalayaan ng Texas
719,kapitolyo ng Texas
720,Austin
721,Taoism
722,New Jersey
723,Mga isla ng Ryukyu
724,Okinawa campaign
725,Okinawa
726,Nagasaki
727,Hiroshima
728,Fukuoka
729,Nagoya
730,Kyoto
731,Osaka
732,Osaka Bay
733,mandarin orange
734,puno ng dalanghita
735,mandarin duck
736,Guangzhou
737,Shanghai
738,Manila
739,shampoo
740,gugo
741,George Washington
742,Washington
743,President Washington
744,George Washington Bridge
745,Capital
746,Booker T. Washington
747,Booker Taliaferro Washington
748,New York
749,90
750,siyamnapu
751,80
752,walumpu
753,78
754,pitumput-walo
755,70
756,pitumpu
757,60
758,animnapu
759,kalahating persyento
760,50
761,limampu
762,kwarentay-singko
763,40
764,apatnapu
765,30
766,tatlumpu
767,29
768,dalawamput-siyam
769,27
770,dawalamput-pito
771,dawalamput-anim
772,26
773,25
774,dalawamput-lima
775,24
776,dalawamput-apat
777,23
778,dalawamput-tatlo
779,22
780,dalawamput-dalawa
781,21
782,dalawamput-isa
783,20
784,dalawampu
785,19
786,labing-siyam
787,18
788,labing-walo
789,17
790,labing-pito
791,16
792,labing-anim
793,15
794,labing-lima
795,14
796,labing-apat
797,13
798,labing-tatlo
799,12
800,labing-dalawa
801,11
802,labing-isa
803,sampu
804,siyam
805,eight ball
806,walo
807,oktabo
808,ikawalo
809,3
810,tatlo
811,4
812,apat
813,5
814,Lima
815,6
816,anim
817,7
818,pito
819,pasyok
820,pagkakahirang
821,pagkakahalal
822,pagkakaboto
823,eleksyon
824,botohan
825,halalan
826,burol
827,tuktok ng bundok
828,bundok
829,talakayan; diskusyon
830,pagtalakay
831,balitaktakan
832,erguhan
833,taltalan
834,antonym
835,kabaligtaran
836,kasalungat
837,synonym
838,kasingkahulugan
839,singkahulugan
840,kapareho
841,bibliya
842,bible
843,Salita ng Diyos
844,Book
845,Y-kromosom
846,X-kromosom
847,dekada
848,ika-20 siglo
849,siglo
850,una
851,500
852,limang daan
853,isang libo
854,libo
855,isa
856,i
857,1
858,ace
859,pagod
860,gilid
861,tabi
862,baybay
863,bingit
864,Disyembre
865,Nobyembre
866,Setyembre
867,Oktubre
868,Agosto
869,Hulyo
870,Hunyo
871,Mayo
872,Abril
873,Marso
874,Pebrero
875,Enero
876,William Ashley Sunday
877,Billy Sunday
878,Araw ng Pagkabuhay
879,Sunday school
880,Sabado
881,Biyernes
882,Huwebes
883,Miyerkules
884,Martes
885,Lunes
886,linggo
887,salagubang
888,kumot
889,taong lobo
890,raccoon
891,kabalyero
892,kota
893,pedalan
894,pedal
895,tapakan
896,sikaran
897,yapakan
898,bisikleta
899,hunger fast
900,pananabik
901,pagnanais
902,kagutuman
903,gutom
904,origami
905,lugod
906,galak
907,kasiyahan
908,kaligayahan
909,glee club
910,buksan
911,pikat
912,peklat
913,gasa
914,sumbrero
915,kalo
916,pusit
917,kalamares
918,oktopus
919,pugita
920,baluti
921,panangga
922,pananggalang
923,kalasag
924,butangero
925,maton
926,sanggano
927,malamyang hangin
928,bullet train
929,bala
930,BB gun
931,kanyon
932,baril
933,remote
934,remote control
935,madyik
936,salamangka
937,mahika
938,reyna
939,monarko
940,hari
941,tropeo
942,ninakaw
943,kinurakot
944,pabuya
945,paragala
946,napanalunan
947,panalo
948,gantimpala
949,premyo
950,kabayaran
951,wagi
952,kampyon
953,tagatugis
954,mangangaso
955,delusyon
956,kathang-isip
957,guni-guni
958,ilusyon
959,yin
960,gitara
961,zaire
962,yuan
963,yen
964,yang
965,wen
966,won
967,tenge
968,taka
969,tael
970,sol
971,som
972,shekel
973,shilling
974,shah
975,rupiah
976,rupee
977,indian rupee
978,riyal
979,ruble
980,ringgit
981,riel
982,rial
983,real
984,rand
985,ayn rand
986,quetzal
987,pula
988,pataca
989,peseta
990,pound
991,Syrian pound
992,Lebanese pound
993,Ezra Pound
994,ezra loomis pound
995,pengo
996,ouguiya
997,peso
998,naira
999,ngultrum
1000,metical
1001,markka
1002,mark
1003,Deutschmark
1004,Deutsche Mark
1005,German mark
1006,loti
1007,manat
1008,litas
1009,lira
1010,lilangeni
1011,lev
1012,leone
1013,lempira
1014,lek
1015,lats
1016,lari
1017,leu
1018,kyat
1019,kwanza
1020,kwacha
1021,Malawi kwacha
1022,kroon
1023,krone
1024,krona
1025,shiling
1026,kip
1027,koruna
1028,kina
1029,irish pound
1030,inti
1031,hryvnia
1032,guilder
1033,guarani
1034,grosz
1035,gourde
1036,franc
1037,forint
1038,florin
1039,escudo
1040,dram
1041,drachma
1042,dong
1043,dolyar
1044,dobra
1045,dirham
1046,dalasi
1047,cordoba
1048,colon
1049,cedi
1050,boliviano
1051,bolivar
1052,El Libertador
1053,Simon Bolivar
1054,birr
1055,baht
1056,balboa
1057,vasco nunez de balboa
1058,auter
1059,austral
1060,australasia
1061,australopithecus
1062,lawrencium
1063,nobelium
1064,mendelevium
1065,fermium
1066,einsteinium
1067,californium
1068,berkelium
1069,curium
1070,americium
1071,plutonium
1072,neptunium
1073,uranium
1074,protactinium
1075,thorium
1076,actinium
1077,lutetium
1078,ytterbium
1079,thulium
1080,erbium
1081,holmium
1082,dysprosium
1083,terbium
1084,gadolinium
1085,europium
1086,samarium
1087,promethium
1088,neodymium
1089,praseodymium
1090,cerium
1091,lanthanum
1092,afghani
1093,Apgano
1094,Apgani
1095,ununhexium
1096,ununpentium
1097,ununquadium
1098,ununtrium
